NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO,OTHER_I3TYPES
IC240518A,139414,34468187,2024-05-18 06:50:07.88,60448.284813425926,Cascade,180.393,21.5767,15.38,15.38,15.38,15.38,40.74,0.3456,,None,None,None,None,None,None,None
IC240416A,139293,45286937,2024-04-16 17:10:31.22,60416.715639120375,Cascade,246.5961,16.9163,5.39,5.39,5.39,5.39,317.32,0.311,,None,None,None,None,None,None,None
IC231230A,138802,36470430,2023-12-30 09:41:46.57,60308.404011226856,Cascade,54.4303,8.9725,11.28,11.28,11.28,11.28,19.83,1.0021,,None,None,None,None,None,None,None
IC230622A,138069,72184188,2023-06-22 09:58:56.53,60117.41593206019,Cascade,225.7319,75.3567,5.59,5.59,5.59,5.59,52.29,0.3189,,None,None,None,None,None,None,None
IC230621A,138065,72143074,2023-06-21 01:55:50.36,60116.08044398148,Cascade,104.9218,-29.8392,4.44,4.44,4.44,4.44,330.07,0.311,,None,None,None,None,None,None,None
IC230610A,138035,55730330,2023-06-10 23:59:35.57,60105.99971724537,Cascade,160.9127,0.9518,10.51,10.51,10.51,10.51,68.82,0.5694,,None,None,None,None,None,None,None
IC230511A,137930,36941090,2023-05-11 05:45:34.98,60075.23998819445,Cascade,288.4037,0.3537,12.69,12.69,12.69,12.69,61.56,0.6396,,None,None,None,None,None,None,None
IC230430A,137891,38931474,2023-04-30 08:42:02.63,60064.362530439816,Cascade,23.972,38.9953,17,17,17,17,61.87,0.311,,None,None,None,None,None,None,None
IC230417A,137845,43811235,2023-04-17 20:04:38.42,60051.83655578704,Cascade,252.9321,-58.6351,9.03,9.03,9.03,9.03,83.41,0.311,,None,None,None,None,None,None,None
IC230329A,137786,1524801,2023-03-29 20:30:08.31,60032.85426284722,Cascade,133.4575,-36.7572,7.41,7.41,7.41,7.41,46.76,0.311,,None,None,None,None,None,None,None
IC230109A,137527,43987982,2023-01-09 11:12:11.29,59953.46679733796,Cascade,174.8091,45.3298,7.07,7.07,7.07,7.07,55.56,0.3114,,None,None,None,None,None,None,None
IC221229A,137489,30229466,2022-12-29 22:57:12.76,59942.95639768519,Cascade,27.2437,36.8047,6.01,6.01,6.01,6.01,85.19,0.311,,None,None,None,None,None,None,None
IC221018A,137167,67425471,2022-10-18 21:13:59.70,59870.88471875,Cascade,90.8799,37.5748,17.43,17.43,17.43,17.43,60.51,0.311,,None,None,None,None,None,None,None
IC220903A,137007,22247606,2022-09-03 01:46:39.59,59825.07406932871,Cascade,109.0181,4.6516,34.45,34.45,34.45,34.45,19.33,1.0053,,None,None,None,None,None,None,None
IC220826A,136985,60401984,2022-08-26 21:38:13.69,59817.90154733796,Cascade,81.9293,29.7022,20.77,20.77,20.77,20.77,24.59,0.4262,,None,None,None,None,None,None,None
IC220801A,136889,25590129,2022-08-01 04:08:34.26,59792.17261875,Cascade,150.1126,-9.1693,12.9,12.9,12.9,12.9,111.46,0.311,,None,None,None,None,None,None,None
IC220728A,136876,7950373,2022-07-28 08:20:30.29,59788.34757280092,Cascade,258.835,-22.6512,8.0,8.0,8.0,8.0,49.51,0.311,,None,None,None,None,None,None,None
IC220625A,136768,63259630,2022-06-25 14:14:38.53,59755.59350150463,Cascade,179.3921,-4.1645,5.86,5.86,5.86,5.86,481.28,0.311,,None,None,None,None,None,None,None
IC220602A,136692,6590287,2022-06-02 08:06:02.26,59732.33752615741,Cascade,49.9691,-63.7976,14.52,14.52,14.52,14.52,103.8,0.311,,None,None,None,None,None,None,None
IC220527A,136673,4249774,2022-05-27 20:27:01.77,59726.852103819445,Cascade,226.122,4.8579,8.01,8.01,8.01,8.01,71.1,0.5473,,None,None,None,None,None,None,None
IC211210A,136027,40906130,2021-12-10 21:38:16.30,59558.90157754629,Cascade,142.6953,16.0864,20.24,20.24,20.24,20.24,26.05,0.9636,,None,None,None,None,None,None,None
IC211128A,135946,6354173,2021-11-28 02:43:07.79,59546.11328460648,Cascade,26.9641,0.7524,18.96,18.96,18.96,18.96,48.12,0.7695,,None,None,None,None,None,None,None
IC210926A,135747,58376130,2021-09-26 05:26:10.94,59483.22651550926,Cascade,249.4993,-35.7347,10.18,10.18,10.18,10.18,34.86,0.311,,None,None,None,None,None,None,None
IC210416A,135196,31863828,2021-04-16 01:58:00.70,59320.0819525463,Cascade,194.1867,-6.2888,19.85,19.85,19.85,19.85,30.2,0.9378,,None,None,None,None,None,None,None
IC210329A,135136,69399950,2021-03-29 16:40:29.22,59302.69478263889,Cascade,32.4624,-24.5896,11.32,11.32,11.32,11.32,88.23,0.311,,None,None,None,None,None,None,None
IC210121A,134912,80902176,2021-01-21 02:55:00.76,59235.12153657408,Cascade,211.1333,-5.8941,20.93,20.93,20.93,20.93,90.07,0.3637,,None,None,None,None,None,None,None
